Year,State,0 to 11,12 to 17,Male,Female,Unknown Gender,White,Black,Amer. Indian/Alaskan Native,Asian/Nat. Hawaiian/Pac Isl,Unknown Race,Family,Acquaintance,Stranger,Unknown,Firearm,Knife,Blunt object,Personal,Other/unknown Weapon,One offender involved,Two or more offenders involved,Unknown number of offenders involved
1993,SC,0,59,56,3,0,5,54,0,0,0,4,35,18,2,51,1,3,1,3,17,42,0
1994,SC,0,78,70,8,0,12,66,0,0,0,6,35,23,14,69,3,0,0,6,17,61,0
1995,SC,1,47,44,4,0,8,40,0,0,0,2,25,17,4,36,5,1,4,2,14,34,0
1996,SC,0,44,41,3,0,4,40,0,0,0,3,21,14,6,34,6,1,1,2,16,28,0
1997,SC,0,71,65,6,0,19,49,0,3,0,8,25,25,14,51,5,0,10,5,19,52,0
1998,SC,1,41,35,7,0,8,34,0,0,0,8,15,10,9,31,4,1,2,4,11,31,0
1999,SC,1,45,43,4,0,10,36,0,0,0,2,22,10,12,33,4,4,2,4,5,42,0
2000,SC,0,24,21,2,0,5,19,0,0,0,5,8,9,2,20,2,0,1,1,6,17,0
2001,SC,0,21,18,3,0,4,17,0,0,0,4,8,8,1,17,0,1,2,1,6,15,0
2002,SC,0,29,26,3,0,10,19,0,0,0,1,13,10,6,21,3,3,0,2,3,26,0
2003,SC,0,38,34,4,0,3,35,0,0,0,4,12,17,5,31,2,1,1,3,7,31,0
2004,SC,0,27,24,3,0,4,22,0,0,1,3,12,8,4,18,3,0,1,5,5,22,0
2005,SC,0,32,28,4,0,4,28,0,0,0,2,16,11,3,23,5,1,1,2,2,30,0
2006,SC,0,42,35,7,0,6,34,0,2,0,1,12,16,13,35,1,0,0,6,5,37,0
2007,SC,0,46,41,5,0,3,43,0,0,0,2,22,15,7,35,7,1,0,3,7,39,0
2008,SC,0,40,39,1,0,3,37,0,0,0,2,26,10,2,34,3,1,2,0,12,28,0
2009,SC,0,41,39,2,0,5,36,0,0,0,6,17,8,9,33,4,1,3,0,8,33,0
2010,SC,0,36,27,8,0,6,29,0,0,0,2,18,9,6,27,0,2,5,1,2,33,0
2011,SC,0,34,30,4,0,10,24,0,0,0,5,18,2,9,31,2,0,1,0,7,27,0
2012,SC,0,17,16,1,0,1,16,0,0,0,0,9,3,5,17,0,0,0,0,2,15,0
2013,SC,0,36,33,3,0,9,27,0,0,0,4,11,4,18,31,3,0,1,1,11,25,0
2014,SC,0,27,25,2,0,6,21,0,0,0,1,16,4,6,22,3,0,1,1,9,18,0
2015,SC,0,31,29,2,0,7,23,0,0,1,4,20,1,6,25,2,0,3,1,11,20,0
2016,SC,0,50,46,4,0,8,42,0,0,0,1,17,11,21,49,0,0,0,1,11,39,0
2017,SC,0,34,32,2,0,4,30,0,0,0,1,11,6,16,28,3,2,0,1,6,28,0
2018,SC,0,50,43,7,0,7,43,0,0,0,3,20,10,17,47,1,0,0,2,11,39,0
2019,SC,0,55,50,4,0,8,46,0,0,0,0,32,4,19,55,0,0,0,0,7,47,0
2020,SC,1,47,42,6,0,6,42,0,0,0,4,23,10,11,40,5,0,1,2,10,38,0
1980,ME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1981,ME,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
1982,ME,0,2,2,0,0,2,0,0,0,0,0,2,0,0,1,0,1,0,0,2,0,0
1983,ME,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
1984,ME,0,4,4,0,0,4,0,0,0,0,1,0,3,0,1,0,0,3,0,1,3,0
1985,ME,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
1986,ME,0,2,2,0,0,2,0,0,0,0,0,2,0,0,1,0,0,1,0,2,0,0
1987,ME,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
1988,ME,1,4,5,0,0,5,0,0,0,0,1,3,1,0,2,0,0,0,3,5,0,0
1989,ME,1,1,1,1,0,2,0,0,0,0,2,0,0,0,0,1,0,0,1,2,0,0
1990,ME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994,ME,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
1995,ME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,ME,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
1997,ME,0,3,3,0,0,2,0,0,1,0,0,3,0,0,1,1,0,1,0,3,0,0
1998,ME,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
1999,ME,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
2000,ME,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
2001,ME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,ME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,ME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,ME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,ME,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
2006,ME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,ME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,ME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,ME,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
2010,ME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,ME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,ME,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
2013,ME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,ME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,ME,0,2,2,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,1,1,0
2016,ME,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
2017,ME,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
2018,ME,0,3,3,0,0,3,0,0,0,0,2,1,0,0,0,2,0,1,0,1,2,0
2019,ME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,ME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,NH,0,2,2,0,0,2,0,0,0,0,0,2,0,0,1,0,0,1,0,2,0,0
1981,NH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982,NH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1983,NH,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
1984,NH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985,NH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986,NH,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
1987,NH,0,5,5,0,0,5,0,0,0,0,0,5,0,0,2,2,0,0,1,4,1,0
1988,NH,0,3,3,0,0,2,1,0,0,0,0,3,0,0,0,2,1,0,0,1,2,0
1989,NH,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
1990,NH,0,3,3,0,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0
1991,NH,1,1,2,0,0,2,0,0,0,0,1,0,1,0,2,0,0,0,0,2,0,0
1992,NH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993,NH,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
1994,NH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,NH,0,2,2,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1,0,2,0,0
1996,NH,0,3,3,0,0,3,0,0,0,0,2,1,0,0,2,1,0,0,0,1,2,0
1998,NH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,NH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,NH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,NH,0,3,3,0,0,3,0,0,0,0,0,0,3,0,0,2,0,1,0,0,3,0
2002,NH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,NH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,NH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,NH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,NH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,NH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,NH,0,2,1,1,0,2,0,0,0,0,0,2,0,0,0,2,0,0,0,0,2,0
2009,NH,0,2,2,0,0,2,0,0,0,0,0,0,2,0,0,2,0,0,0,0,2,0
2010,NH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,NH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,NH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,NH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,NH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,NH,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
2016,NH,0,4,4,0,0,4,0,0,0,0,0,4,0,0,4,0,0,0,0,0,4,0
2017,NH,0,2,2,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0
2018,NH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,NH,1,2,3,0,0,2,0,0,0,1,3,0,0,0,1,2,0,0,0,3,0,0
2020,NH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,NJ,0,56,54,2,0,28,29,0,0,0,3,19,34,1,22,8,18,4,5,26,31,0
1981,NJ,1,47,47,1,0,14,34,0,0,0,3,10,27,8,21,10,8,8,1,18,30,0
1982,NJ,0,55,51,4,0,19,36,0,0,0,4,16,28,7,13,15,13,7,7,17,38,0
1983,NJ,0,34,32,2,0,11,23,0,0,0,3,17,10,4,9,7,12,6,0,16,18,0
1984,NJ,0,26,23,3,0,5,19,0,0,2,2,9,12,3,9,7,3,3,3,14,13,0
1985,NJ,1,37,36,2,0,8,30,0,0,0,3,9,21,5,17,5,9,4,3,15,23,0
1986,NJ,0,34,33,1,0,10,23,0,0,0,2,11,19,1,16,9,3,4,1,11,22,0
1987,NJ,2,36,35,3,0,12,25,1,0,0,7,11,16,4,15,9,4,6,4,17,21,0
1988,NJ,0,40,39,1,0,12,29,0,0,0,2,25,12,2,24,8,3,2,4,16,25,0
1989,NJ,0,34,33,1,0,14,20,0,0,0,4,21,8,1,21,8,4,1,0,15,19,0
1990,NJ,0,42,38,3,1,18,24,0,0,0,3,12,27,0,15,13,4,7,3,22,20,0
1991,NJ,0,49,47,2,0,12,37,0,0,0,2,22,21,4,26,6,5,9,3,24,25,0
1992,NJ,0,50,48,3,0,16,35,0,0,0,4,16,29,2,33,8,2,4,4,20,31,0
1993,NJ,0,52,49,3,0,7,42,0,0,3,1,26,19,6,31,8,8,3,2,12,40,0
1994,NJ,1,37,36,2,0,10,27,0,1,0,3,11,17,7,28,5,2,1,2,25,13,0
1995,NJ,0,45,43,2,0,12,33,0,0,0,1,20,15,9,33,4,1,4,3,28,17,0
1996,NJ,1,38,37,2,0,5,32,0,1,0,1,11,12,14,22,2,1,9,4,17,21,0
1997,NJ,0,39,36,3,0,17,22,0,0,1,4,23,6,7,24,2,6,3,4,19,21,0
1998,NJ,1,24,23,2,0,9,16,0,0,0,1,11,8,5,15,1,2,4,3,13,12,0
1999,NJ,0,17,14,3,0,4,13,0,0,0,2,7,4,4,8,6,0,3,0,15,2,0
2000,NJ,1,15,11,5,0,5,11,0,0,0,5,6,1,4,6,5,0,1,4,12,4,0
2001,NJ,0,27,23,4,0,6,21,0,0,0,1,4,17,5,8,6,0,12,1,11,16,0
2002,NJ,0,16,15,1,0,4,12,0,0,0,2,7,5,2,11,3,1,1,0,10,6,0
2003,NJ,1,25,24,2,0,8,18,0,0,0,4,5,14,3,12,5,5,3,1,10,16,0
2004,NJ,0,25,25,0,0,10,15,0,0,0,0,6,15,4,14,5,4,2,0,13,12,0
2005,NJ,0,25,24,1,0,7,18,0,0,0,3,5,15,2,9,1,9,5,1,12,13,0
2006,NJ,0,26,23,2,1,5,20,0,0,1,2,9,12,3,14,9,1,2,0,19,7,0
2007,NJ,0,37,36,1,0,8,29,0,0,0,1,15,21,0,20,4,4,8,1,14,23,0
2008,NJ,0,23,20,3,0,9,14,0,0,0,3,10,8,2,12,5,3,2,1,11,12,0
2009,NJ,0,26,25,1,0,4,22,0,0,0,3,6,15,2,11,2,11,1,1,10,16,0
2010,NJ,0,21,20,1,0,5,16,0,0,0,0,6,14,1,12,0,0,9,0,6,15,0
2011,NJ,0,16,16,0,0,3,13,0,0,0,1,4,8,3,8,1,1,6,0,8,8,0
2012,NJ,0,19,18,1,0,7,12,0,0,0,0,9,6,4,9,6,0,1,3,8,11,0
2013,NJ,0,18,18,0,0,0,17,0,1,0,1,6,10,1,11,1,0,5,1,9,9,0
2014,NJ,0,6,5,1,0,2,4,0,0,0,1,3,1,1,4,0,0,2,0,6,0,0
2015,NJ,0,12,11,1,0,4,8,0,0,0,0,5,3,4,11,1,0,0,0,7,5,0
2016,NJ,0,14,13,1,0,3,11,0,0,0,0,2,5,7,12,2,0,0,0,8,6,0
2017,NJ,0,12,12,0,0,6,6,0,0,0,3,2,6,1,11,1,0,0,0,6,6,0
2018,NJ,0,15,13,2,0,9,6,0,0,0,1,2,9,3,12,0,0,2,1,10,5,0
2019,NJ,0,14,14,0,0,3,11,0,0,0,2,9,1,2,11,3,0,0,0,8,6,0
2020,NJ,1,12,12,1,0,2,11,0,0,0,0,2,4,7,8,1,0,1,3,6,7,0
