State,Year,0 to 11,12 to 17,Male,Female,Unknown Gender,White,Black,Amer. Indian/Alaskan Native,Asian/Nat. Hawaiian/Pac Isl,Unknown Race,Pattern
ID,2006,-0.34596717777600594,-0.44965147101742153,-0.4850173740748928,-0.3236324023649727,-0.10510389060631,-0.22384562067248256,-0.6135060294600118,-0.3365566445941464,-0.2264911699210134,-0.17441905007072317,0
ID,2007,-0.34596717777600594,-0.4708889865001512,-0.4626679223106726,-0.632546551198449,-0.10510389060631,-0.2631364121122551,-0.6135060294600118,-0.3365566445941464,-0.2264911699210134,-0.17441905007072317,0
ID,2008,-0.34596717777600594,-0.4708889865001512,-0.4850173740748928,-0.3236324023649727,-0.10510389060631,-0.2631364121122551,-0.6135060294600118,-0.3365566445941464,-0.2264911699210134,-0.17441905007072317,0
ID,2009,-0.34596717777600594,-0.5133640174656106,-0.5297162776033333,-0.3236324023649727,-0.10510389060631,-0.3417179949918,-0.6135060294600118,-0.3365566445941464,-0.2264911699210134,-0.17441905007072317,0
ID,2010,-0.34596717777600594,-0.5558390484310699,-0.5520657293675535,-0.632546551198449,-0.10510389060631,-0.420299577871345,-0.6135060294600118,-0.3365566445941464,-0.2264911699210134,-0.17441905007072317,0
ID,2011,-0.34596717777600594,-0.5558390484310699,-0.5520657293675535,-0.632546551198449,-0.10510389060631,-0.420299577871345,-0.6135060294600118,-0.3365566445941464,-0.2264911699210134,-0.17441905007072317,0
ID,2012,-0.34596717777600594,-0.5346015329483402,-0.5297162776033333,-0.632546551198449,-0.10510389060631,-0.3810087864315725,-0.6135060294600118,-0.3365566445941464,-0.2264911699210134,-0.17441905007072317,0
ID,2013,-0.34596717777600594,-0.5558390484310699,-0.5520657293675535,-0.632546551198449,-0.10510389060631,-0.420299577871345,-0.6135060294600118,-0.3365566445941464,-0.2264911699210134,-0.17441905007072317,0
ID,2014,-0.34596717777600594,-0.5346015329483402,-0.5297162776033333,-0.632546551198449,-0.10510389060631,-0.3810087864315725,-0.6135060294600118,-0.3365566445941464,-0.2264911699210134,-0.17441905007072317,0
ID,2015,-0.34596717777600594,-0.5346015329483402,-0.5297162776033333,-0.632546551198449,-0.10510389060631,-0.3810087864315725,-0.6135060294600118,-0.3365566445941464,-0.2264911699210134,-0.17441905007072317,0
ID,2016,-0.34596717777600594,-0.5558390484310699,-0.5520657293675535,-0.632546551198449,-0.10510389060631,-0.420299577871345,-0.6135060294600118,-0.3365566445941464,-0.2264911699210134,-0.17441905007072317,0
ID,2017,-0.34596717777600594,-0.5558390484310699,-0.5520657293675535,-0.632546551198449,-0.10510389060631,-0.420299577871345,-0.6135060294600118,-0.3365566445941464,-0.2264911699210134,-0.17441905007072317,0
IL,1980,-0.34596717777600594,1.313062314049141,1.1911915082416231,2.456594937136314,-0.10510389060631,1.033459705400237,1.3683279831006456,1.1442925916200979,0.27725167572547926,-0.17441905007072317,3
IL,1981,1.438597982164635,2.3749380881856244,2.3980619035095145,1.8387666394693614,-0.10510389060631,1.1120412882797819,3.431053179847452,-0.3365566445941464,-0.2264911699210134,-0.17441905007072317,1
